"ID","Gemeinde_fr","Tabelle_fr","Staerkste_Partei"
3882,"Küblis (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r176tab_r2#547d34tab_r3$td£$b£50.8%$/b£$/td£§-3.3$/td£$/tr£$tr£$td£Centre$/td£tab_r118tab_r2#f39f5etab_r3$td£$b£12.0%$/b£$/td£§-2.3$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£11.8%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£9.7%$/b£$/td£§+1.9$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.6%$/b£$/td£§-3.9$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.3%$/b£$/td£§+0.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£210$/b£$br£Taux de participation: $b£34.4%$/b£ (-3.5%)","SVP"
3891,"Luzein (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r174tab_r2#547d34tab_r3$td£$b£49.6%$/b£$/td£§-5.0$/td£$/tr£$tr£$td£Centre$/td£tab_r124tab_r2#f39f5etab_r3$td£$b£16.0%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£PS$/td£tab_r117tab_r2#ea546ftab_r3$td£$b£11.3%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£PLR$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.8%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£UDF$/td£tab_r16tab_r2#3aa59atab_r3$td£$b£4.3%$/b£$/td£§+4.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.0%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.4%$/b£$/td£§-2.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£587$/b£$br£Taux de participation: $b£46.2%$/b£ (+2.9%)","SVP"
3901,"Coire (GR)","Résultats non encore disponibles.","no_data"
3911,"Churwalden (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r145tab_r2#547d34tab_r3$td£$b£30.2%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£Centre$/td£tab_r136tab_r2#f39f5etab_r3$td£$b£24.2%$/b£$/td£§+3.3$/td£$/tr£$tr£$td£PS$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£17.8%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£PLR$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.6%$/b£$/td£§-4.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r112tab_r2#26b300tab_r3$td£$b£7.7%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£PVL$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.4%$/b£$/td£§-2.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£589$/b£$br£Taux de participation: $b£44.2%$/b£ (+2.3%)","SVP"
3921,"Arosa (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r160tab_r2#547d34tab_r3$td£$b£40.0%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£Centre$/td£tab_r127tab_r2#f39f5etab_r3$td£$b£18.1%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£PLR$/td£tab_r123tab_r2#6268AFtab_r3$td£$b£15.6%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£PS$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.3%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.3%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.5%$/b£$/td£§-4.5$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£861$/b£$br£Taux de participation: $b£41.6%$/b£ (+2.1%)","SVP"
3932,"Tschiertschen-Praden (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r166tab_r2#547d34tab_r3$td£$b£44.2%$/b£$/td£§+5.7$/td£$/tr£$tr£$td£Centre$/td£tab_r141tab_r2#f39f5etab_r3$td£$b£27.1%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£PLR$/td£tab_r121tab_r2#6268AFtab_r3$td£$b£13.9%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£PS$/td£tab_r113tab_r2#ea546ftab_r3$td£$b£8.8%$/b£$/td£§+3.1$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.2%$/b£$/td£§-5.3$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£94$/b£$br£Taux de participation: $b£42.2%$/b£ (+2.6%)","SVP"
3945,"Trimmis (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r167tab_r2#547d34tab_r3$td£$b£44.7%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£Centre$/td£tab_r129tab_r2#f39f5etab_r3$td£$b£19.6%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PS$/td£tab_r122tab_r2#ea546ftab_r3$td£$b£14.5%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£PLR$/td£tab_r112tab_r2#6268AFtab_r3$td£$b£8.1%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£6.2%$/b£$/td£§-3.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.1%$/b£$/td£§+0.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£1'054$/b£$br£Taux de participation: $b£43.8%$/b£ (-0.2%)","SVP"
3946,"Untervaz (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r160tab_r2#547d34tab_r3$td£$b£39.9%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£Centre$/td£tab_r130tab_r2#f39f5etab_r3$td£$b£20.1%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PS$/td£tab_r129tab_r2#ea546ftab_r3$td£$b£19.2%$/b£$/td£§-4.9$/td£$/tr£$tr£$td£PLR$/td£tab_r111tab_r2#6268AFtab_r3$td£$b£7.4%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.6%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.2%$/b£$/td£§-0.7$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£746$/b£$br£Taux de participation: $b£39.6%$/b£ (+1.4%)","SVP"
3947,"Zizers (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.4%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£Centre$/td£tab_r131tab_r2#f39f5etab_r3$td£$b£20.9%$/b£$/td£§-6.3$/td£$/tr£$tr£$td£PS$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.2%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£PLR$/td£tab_r119tab_r2#6268AFtab_r3$td£$b£12.9%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£PVL$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£8.0%$/b£$/td£§-0.2$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.8%$/b£$/td£§+0.0$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£957$/b£$br£Taux de participation: $b£39.8%$/b£ (+0.8%)","SVP"
3951,"Fläsch (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.0%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£PLR$/td£tab_r130tab_r2#6268AFtab_r3$td£$b£20.0%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£Centre$/td£tab_r123tab_r2#f39f5etab_r3$td£$b£15.0%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PS$/td£tab_r122tab_r2#ea546ftab_r3$td£$b£14.6%$/b£$/td£§+2.5$/td£$/tr£$tr£$td£PVL$/td£tab_r117tab_r2#cbd401tab_r3$td£$b£11.6%$/b£$/td£§-2.1$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.4%$/b£$/td£§-3.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£288$/b£$br£Taux de participation: $b£44.9%$/b£ (+0.3%)","SVP"
3952,"Jenins (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r156tab_r2#547d34tab_r3$td£$b£37.3%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PS$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£17.7%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£PLR$/td£tab_r125tab_r2#6268AFtab_r3$td£$b£16.8%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£Centre$/td£tab_r121tab_r2#f39f5etab_r3$td£$b£13.9%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£PVL$/td£tab_r113tab_r2#cbd401tab_r3$td£$b£8.6%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.5%$/b£$/td£§-0.5$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£359$/b£$br£Taux de participation: $b£50.7%$/b£ (+1.2%)","SVP"
3953,"Maienfeld (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r148tab_r2#547d34tab_r3$td£$b£32.2%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£PLR$/td£tab_r136tab_r2#6268AFtab_r3$td£$b£23.9%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£Centre$/td£tab_r127tab_r2#f39f5etab_r3$td£$b£18.0%$/b£$/td£§+0.3$/td£$/tr£$tr£$td£PS$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.5%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£PVL$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.2%$/b£$/td£§-4.5$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.0%$/b£$/td£§-1.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£1'108$/b£$br£Taux de participation: $b£46.5%$/b£ (+0.8%)","SVP"
3954,"Malans (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r137tab_r2#547d34tab_r3$td£$b£24.7%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£PS$/td£tab_r136tab_r2#ea546ftab_r3$td£$b£23.9%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£PLR$/td£tab_r126tab_r2#6268AFtab_r3$td£$b£17.5%$/b£$/td£§-3.2$/td£$/tr£$tr£$td£Centre$/td£tab_r120tab_r2#f39f5etab_r3$td£$b£13.4%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£PVL$/td£tab_r115tab_r2#cbd401tab_r3$td£$b£9.7%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r112tab_r2#26b300tab_r3$td£$b£7.7%$/b£$/td£§+0.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£971$/b£$br£Taux de participation: $b£50.9%$/b£ (-1.4%)","SVP"
3955,"Landquart (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r154tab_r2#547d34tab_r3$td£$b£35.8%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£Centre$/td£tab_r129tab_r2#f39f5etab_r3$td£$b£19.5%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£PS$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£18.0%$/b£$/td£§-0.2$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£9.9%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£PVL$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.8%$/b£$/td£§-3.8$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.7%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£PEV$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.0%$/b£$/td£§+3.0$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£2'129$/b£$br£Taux de participation: $b£36.9%$/b£ (+1.7%)","SVP"
3961,"Grüsch (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r167tab_r2#547d34tab_r3$td£$b£44.9%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£Centre$/td£tab_r120tab_r2#f39f5etab_r3$td£$b£13.4%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£PS$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.5%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£9.9%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£PVL$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.1%$/b£$/td£§-3.6$/td£$/tr£$tr£$td£UDF$/td£tab_r18tab_r2#3aa59atab_r3$td£$b£5.4%$/b£$/td£§+5.4$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.4%$/b£$/td£§-1.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£767$/b£$br£Taux de participation: $b£47.1%$/b£ (+2.1%)","SVP"
3962,"Schiers (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r163tab_r2#547d34tab_r3$td£$b£42.3%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£PS$/td£tab_r125tab_r2#ea546ftab_r3$td£$b£16.4%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£Centre$/td£tab_r121tab_r2#f39f5etab_r3$td£$b£13.9%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£PLR$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.1%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.7%$/b£$/td£§-3.8$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.2%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£UDF$/td£tab_r15tab_r2#3aa59atab_r3$td£$b£3.6%$/b£$/td£§+3.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£715$/b£$br£Taux de participation: $b£37.6%$/b£ (-0.3%)","SVP"
3972,"Seewis im Prättigau (GR)","tab_h_fr$tr£$td£UDC$/td£tab_r157tab_r2#547d34tab_r3$td£$b£37.9%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£Centre$/td£tab_r121tab_r2#f39f5etab_r3$td£$b£14.3%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£PS$/td£tab_r121tab_r2#ea546ftab_r3$td£$b£14.1%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£PLR$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.2%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.1%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£UDF$/td£tab_r19tab_r2#3aa59atab_r3$td£$b£5.8%$/b£$/td£§+5.8$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£5.7%$/b£$/td£§-4.4$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£492$/b£$br£Taux de participation: $b£45.6%$/b£ (+6.0%)","SVP"
3981,"Breil/Brigels (GR)","tab_h_fr$tr£$td£Centre$/td£tab_r170tab_r2#f39f5etab_r3$td£$b£46.7%$/b£$/td£§-7.4$/td£$/tr£$tr£$td£UDC$/td£tab_r144tab_r2#547d34tab_r3$td£$b£29.6%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£PS$/td£tab_r116tab_r2#ea546ftab_r3$td£$b£10.4%$/b£$/td£§+3.5$/td£$/tr£$tr£$td£PLR$/td£tab_r19tab_r2#6268AFtab_r3$td£$b£6.0%$/b£$/td£§+1.8$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£623$/b£$br£Taux de participation: $b£44.9%$/b£ (+0.3%)","Mitte"
3982,"Disentis/Mustér (GR)","tab_h_fr$tr£$td£Centre$/td£tab_r197tab_r2#f39f5etab_r3$td£$b£65.0%$/b£$/td£§-5.2$/td£$/tr£$tr£$td£UDC$/td£tab_r123tab_r2#547d34tab_r3$td£$b£15.0%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£PS$/td£tab_r111tab_r2#ea546ftab_r3$td£$b£7.6%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.0%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PLR$/td£tab_r16tab_r2#6268AFtab_r3$td£$b£4.0%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£PVL$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£3.8%$/b£$/td£§-0.7$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£774$/b£$br£Taux de participation: $b£52.3%$/b£ (+4.2%)","Mitte"
3983,"Medel (Lucmagn) (GR)","tab_h_fr$tr£$td£Centre$/td£tab_r181tab_r2#f39f5etab_r3$td£$b£54.3%$/b£$/td£§-11.8$/td£$/tr£$tr£$td£UDC$/td£tab_r135tab_r2#547d34tab_r3$td£$b£23.3%$/b£$/td£§+13.6$/td£$/tr£$tr£$td£PS$/td£tab_r114tab_r2#ea546ftab_r3$td£$b£9.1%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£PLR$/td£tab_r111tab_r2#6268AFtab_r3$td£$b£7.3%$/b£$/td£§+2.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£130$/b£$br£Taux de participation: $b£46.7%$/b£ (+6.4%)","Mitte"
3985,"Sumvitg (GR)","tab_h_fr$tr£$td£Centre$/td£tab_r1106tab_r2#f39f5etab_r3$td£$b£70.6%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£UDC$/td£tab_r124tab_r2#547d34tab_r3$td£$b£16.1%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£PS$/td£tab_r18tab_r2#ea546ftab_r3$td£$b£5.3%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.6%$/b£$/td£§+0.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£518$/b£$br£Taux de participation: $b£58.2%$/b£ (-1.0%)","Mitte"
3986,"Tujetsch (GR)","tab_h_fr$tr£$td£Centre$/td£tab_r181tab_r2#f39f5etab_r3$td£$b£54.0%$/b£$/td£§-7.0$/td£$/tr£$tr£$td£UDC$/td£tab_r132tab_r2#547d34tab_r3$td£$b£21.4%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PS$/td£tab_r116tab_r2#ea546ftab_r3$td£$b£10.4%$/b£$/td£§+3.0$/td£$/tr£$tr£$td£PLR$/td£tab_r110tab_r2#6268AFtab_r3$td£$b£6.9%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£PVL$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£4.2%$/b£$/td£§+0.3$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£423$/b£$br£Taux de participation: $b£45.9%$/b£ (-1.6%)","Mitte"
3987,"Trun (GR)","tab_h_fr$tr£$td£Centre$/td£tab_r189tab_r2#f39f5etab_r3$td£$b£59.2%$/b£$/td£§-5.5$/td£$/tr£$tr£$td£UDC$/td£tab_r134tab_r2#547d34tab_r3$td£$b£22.3%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r112tab_r2#26b300tab_r3$td£$b£8.3%$/b£$/td£§+3.5$/td£$/tr£$tr£$td£PS$/td£tab_r18tab_r2#ea546ftab_r3$td£$b£5.5%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PLR$/td£tab_r16tab_r2#6268AFtab_r3$td£$b£3.7%$/b£$/td£§+1.8$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£407$/b£$br£Taux de participation: $b£45.5%$/b£ (-1.4%)","Mitte"
3988,"Obersaxen Mundaun (GR)","Résultats non encore disponibles.","no_data"
4001,"Aarau (AG)","Résultats non encore disponibles.","no_data"
4002,"Biberstein (AG)","tab_h_fr$tr£$td£UDC$/td£tab_r142tab_r2#547d34tab_r3$td£$b£28.3%$/b£$/td£§+6.0$/td£$/tr£$tr£$td£PS$/td£tab_r130tab_r2#ea546ftab_r3$td£$b£19.7%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£PLR$/td£tab_r126tab_r2#6268AFtab_r3$td£$b£17.4%$/b£$/td£§-2.7$/td£$/tr£$tr£$td£PVL$/td£tab_r115tab_r2#cbd401tab_r3$td£$b£9.9%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r113tab_r2#26b300tab_r3$td£$b£8.4%$/b£$/td£§-4.2$/td£$/tr£$tr£$td£Centre$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£7.9%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£PEV$/td£tab_r18tab_r2#87bfdctab_r3$td£$b£5.3%$/b£$/td£§+1.7$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£736$/b£$br£Taux de participation: $b£62.5%$/b£ (+4.6%)","SVP"
4003,"Buchs (AG)","tab_h_fr$tr£$td£UDC$/td£tab_r146tab_r2#547d34tab_r3$td£$b£31.0%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£PS$/td£tab_r128tab_r2#ea546ftab_r3$td£$b£18.7%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£PLR$/td£tab_r123tab_r2#6268AFtab_r3$td£$b£15.2%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PVL$/td£tab_r113tab_r2#cbd401tab_r3$td£$b£9.0%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£Centre$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.9%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.1%$/b£$/td£§-2.8$/td£$/tr£$tr£$td£PEV$/td£tab_r19tab_r2#87bfdctab_r3$td£$b£5.9%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£Divers$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.5%$/b£$/td£§+0.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£2'093$/b£$br£Taux de participation: $b£50.0%$/b£ (+4.2%)","SVP"
4004,"Densbüren (AG)","tab_h_fr$tr£$td£UDC$/td£tab_r182tab_r2#547d34tab_r3$td£$b£54.6%$/b£$/td£§+6.2$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£9.8%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£Centre$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£8.3%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£PS$/td£tab_r111tab_r2#ea546ftab_r3$td£$b£7.3%$/b£$/td£§-5.2$/td£$/tr£$tr£$td£PVL$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.8%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.1%$/b£$/td£§-2.8$/td£$/tr£$tr£$td£Divers$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.8%$/b£$/td£§+1.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£284$/b£$br£Taux de participation: $b£49.7%$/b£ (+4.5%)","SVP"
4005,"Erlinsbach (AG)","Résultats non encore disponibles.","no_data"
4006,"Gränichen (AG)","Résultats non encore disponibles.","no_data"
4007,"Hirschthal (AG)","tab_h_fr$tr£$td£UDC$/td£tab_r172tab_r2#547d34tab_r3$td£$b£47.9%$/b£$/td£§+8.1$/td£$/tr£$tr£$td£PLR$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£14.8%$/b£$/td£§-4.1$/td£$/tr£$tr£$td£PS$/td£tab_r113tab_r2#ea546ftab_r3$td£$b£8.4%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£Centre$/td£tab_r111tab_r2#f39f5etab_r3$td£$b£7.5%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PEV$/td£tab_r19tab_r2#87bfdctab_r3$td£$b£6.1%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£5.7%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.3%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£Divers$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.3%$/b£$/td£§+0.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£620$/b£$br£Taux de participation: $b£50.3%$/b£ (+5.5%)","SVP"
4008,"Küttigen (AG)","Résultats non encore disponibles.","no_data"
4009,"Muhen (AG)","tab_h_fr$tr£$td£UDC$/td£tab_r169tab_r2#547d34tab_r3$td£$b£45.7%$/b£$/td£§+5.0$/td£$/tr£$tr£$td£PLR$/td£tab_r123tab_r2#6268AFtab_r3$td£$b£15.2%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£11.9%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£Centre$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.5%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£6.1%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£PEV$/td£tab_r17tab_r2#87bfdctab_r3$td£$b£4.9%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.5%$/b£$/td£§-1.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£1'311$/b£$br£Taux de participation: $b£47.4%$/b£ (+3.0%)","SVP"
4010,"Oberentfelden (AG)","Résultats non encore disponibles.","no_data"
4012,"Suhr (AG)","Résultats non encore disponibles.","no_data"
4013,"Unterentfelden (AG)","Résultats non encore disponibles.","no_data"
4021,"Baden (AG)","Résultats non encore disponibles.","no_data"
4022,"Bellikon (AG)","Résultats non encore disponibles.","no_data"
