"ID","Gemeinde_de","Text_de","Staerkste_Partei"
3808,"Rossa GR","Die Wählerinnen und Wähler von Rossa stimmen am meisten für die <b>SVP</b> (122 Stimmen), gefolgt von der BDP (51 Stimmen) und der <b>SP</b> (40 Stimmen).<br><br>","SVP"
3810,"Santa Maria in Calanca GR","In Santa Maria in Calanca verteilen die Wahlberechtigten ihre Stimmen auf die <b>SVP</b> (107 Stimmen), die <b>SP</b> (35 Stimmen) und die <b>Mitte</b> (20 Stimmen).<br><br>","SVP"
3821,"Lostallo GR","Mit einem grossen Sprung von +13,4 Prozentpunkten ist die <b>FDP</b> neu die stärkste Partei in Lostallo. Die Partei erhält 41,1 Prozent der Wählerstimmen.<br><br>Einen markanten Verlust muss die <b>SVP</b> hinnehmen: Die Partei verliert -6,8 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 24,7 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Die <b>SP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 15,6 Prozent (Veränderung gegenüber 2019: -2 Prozentpunkte).","FDP"
3822,"Mesocco GR","In Mesocco behält die <b>SVP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 31,9 Prozent (-4,9 Prozentpunkte).<br><br>In der Gemeinde landet die <b>SP</b> auf dem zweiten Platz. Die Partei erreicht einen Wählerstimmenanteil von 22,3 Prozent (-1,1 Prozentpunkte). <br><br>Mit einem deutlichen Anstieg von +10 Prozentpunkten gegenüber den letzten Wahlen kann sich die <b>FDP</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 18,5 Prozent.","SVP"
3823,"Soazza GR","Die drei führenden Parteien in Soazza sind die <b>SVP</b> mit 184 Stimmen, die <b>FDP</b> mit 135 Stimmen und die <b>SP</b> mit 67 Stimmen.<br><br>","SVP"
3831,"Cama GR","In Cama geben die Wahlberechtigten der <b>SVP</b> 158, der <b>FDP</b> 119 und der <b>Mitte</b> 64 Stimmen.<br><br>Negativrekord: Die Gemeinde weist die tiefste Wahlbeteiligung der ganzen Schweiz auf, nämlich nur gerade 23,2 Prozent.","SVP"
3832,"Grono GR","Die <b>SVP</b> behauptet ihre Position als vorherrschende Partei in Grono. Die Partei verzeichnet einen Wähleranteil von 36,6 Prozent (-1,9 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>FDP</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +18,2 Prozentpunkte deutlich und weist neu einen Wähleranteil von 29,3 Prozent auf.<br><br>Die <b>SP</b> landet mit 17,9 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -4,7 Prozentpunkte).","SVP"
3834,"Roveredo GR","Keine Änderung an der Spitze in Roveredo GR: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (40,4 Prozent, -7,4 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>SP</b> mit 27,4 Prozent (0 Prozentpunkte gegenüber 2019).<br><br>Die <b>FDP</b> verzeichnet einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 16,3 Prozent. Das sind +7,5 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","SVP"
3835,"San Vittore GR","In San Vittore behält die <b>SVP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 39,1 Prozent (+3,9 Prozentpunkte).<br><br>Einen markanten Verlust muss die <b>SP</b> hinnehmen: Die Partei verliert -5,4 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 27,2 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Den dritten Platz belegt die <b>FDP</b>. Die Partei erzielt einen Wähleranteil von 14,8 Prozent (Veränderung gegenüber 2019: +1,2 Prozentpunkte).","SVP"
3837,"Calanca GR","In Calanca steht die <b>SVP</b> mit 90 Stimmen an erster Stelle. Dahinter folgen die <b>SP</b> mit 60 Stimmen und die <b>Mitte</b> mit 45 Stimmen.<br><br>","SVP"
3847,"Val Müstair GR","In Val Müstair bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 34,6 Prozent aller Stimmen (+2,8 Prozentpunkte).<br><br>Die <b>Mitte</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 20,2 Prozent (-3,5 Prozentpunkte).<br><br>Die BDP muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 13,4 Prozent der Stimmen und damit -5,2 Prozentpunkte weniger als vor vier Jahren.","SVP"
3851,"Davos GR","Keine Änderung an der Spitze in Davos: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (31,8 Prozent, +1,8 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +7,4 Prozentpunkte ist die <b>SP</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 22,1 Prozent.<br><br>Der dritte Platz geht an die <b>FDP</b>. Die Partei erreicht 16,4 Prozent der Stimmen (Veränderung von -4 Prozentpunkten gegenüber 2019).","SVP"
3861,"Fideris GR","Keine Änderung an der Spitze in Fideris: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (36,1 Prozent, +3,7 Prozentpunkte).<br><br>Die <b>GLP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 18,4 Prozent (+4,2 Prozentpunkte).<br><br>Mit einem Wähleranteil von 14,5 Prozent belegt die <b>FDP</b> den dritten Platz (Veränderung gegenüber 2019: -3,6 Prozentpunkte).","SVP"
3862,"Furna GR","Die <b>SVP</b> ist in Furna unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Mit einem Wählerstimmenanteil von 15,5 Prozent (-4,8 Prozentpunkte) ist die BDP die zweitstärkste Kraft in der Gemeinde.<br><br>Den dritten Platz belegt die <b>SP</b>. Die Partei erzielt einen Wähleranteil von 7,7 Prozent (Veränderung gegenüber 2019: -4,3 Prozentpunkte).","SVP"
3863,"Jenaz GR","Mit grossem Abstand verteidigt die <b>SVP</b> ihre Position als grösste Partei in Jenaz, mit einem Wähleranteil von 44,2 Prozent (+6,6 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>FDP</b>, beträgt 27,9 Prozentpunkte. Die <b>FDP</b> erhält 16,3 Prozent der Stimmen (-3,1 Prozentpunkte).<br><br>Die BDP verliert -6,9 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 14,5 Prozent nur noch auf dem dritten Platz landet.","SVP"
3871,"Klosters-Serneus GR","Nach wie vor ist die <b>SVP</b> in Klosters-Serneus unangefochten die grösste Partei, mit einem Wähleranteil von 43,2 Prozent (+0,2 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>FDP</b>, ist beträchtlich - nämlich 29,6 Prozentpunkte. Die <b>FDP</b> erreicht einen Wähleranteil von 13,7 Prozent (-3,8 Prozentpunkte). <br><br>Den dritten Platz belegt die BDP. Die Partei erzielt einen Wähleranteil von 13,5 Prozent (Veränderung gegenüber 2019: -3,9 Prozentpunkte).","SVP"
3881,"Conters im Prättigau GR","In der Gemeinde Conters im Prättigau holt sich die <b>SVP</b> am meisten Stimmen (199 Stimmen). Dahinter folgen die <b>FDP</b> (57 Stimmen) und die BDP (32 Stimmen).<br><br>","SVP"
3882,"Küblis GR","Die <b>SVP</b> ist in Küblis unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Trotz einem Minus von -6,5 Prozentpunkten gegenüber den Wahlen 2019 belegt die BDP immer noch den zweiten Platz. Dies dank eines Wähleranteils von 11,2 Prozent.<br><br>Den dritten Platz belegt die <b>SP</b>. Die Partei erzielt einen Wähleranteil von 9,6 Prozent (Veränderung gegenüber 2019: -0,1 Prozentpunkte).","SVP"
3891,"Luzein GR","Kein Weg führt in Luzein an der <b>SVP</b> vorbei. Die Partei holt mehr als die Hälfte der Stimmen und damit eine absolute Mehrheit.<br><br>Die BDP ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 11,8 Prozent (-4,4 Prozentpunkte).<br><br>Die <b>FDP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 9,4 Prozent der Stimmen und damit -10,1 Prozentpunkte weniger als vor vier Jahren.","SVP"
3901,"Chur GR","Neue stärkste Kraft in Chur: Die <b>SP</b> holt mit 25,4 Prozent (-0,5 Prozentpunkte) die meisten Stimmen. Die Partei verbessert sich damit von Rang zwei auf den ersten Platz.<br><br>In der Gemeinde landet die <b>SVP</b> auf dem zweiten Platz. Die Partei erreicht einen Wählerstimmenanteil von 23,2 Prozent (-3,2 Prozentpunkte). <br><br>Die <b>Mitte</b> sichert sich den dritten Platz, mit einem Wähleranteil von 14,2 Prozent (Veränderung gegenüber 2019: +0,5 Prozentpunkte).","SP"
3911,"Churwalden GR","Die Spitzenplätze in Churwalden bleiben gleich: Unverändert belegen die <b>SVP</b>, die <b>SP</b> und die <b>FDP</b> die ersten drei Plätze. Sie holen 29,8 Prozent (-0,7 Prozentpunkte), 16,8 Prozent (-1,6 Prozentpunkte) respektive 15,9 Prozent (-1 Prozentpunkte) der Stimmen.<br><br>","SVP"
3921,"Arosa GR","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Arosa. Ihre Parteistärke beträgt 37,7 Prozent (+0,2 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>FDP</b>, ist gross: 20,5 Prozentpunkte. Die <b>FDP</b> holt 17,2 Prozent (+1,8 Prozentpunkte).<br><br>Die BDP muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 10,5 Prozent der Stimmen und damit -7,5 Prozentpunkte weniger als vor vier Jahren.","SVP"
3926,NA,"NA<br><br>Den dritten Platz belegt die <b>GLP</b>. Die Partei erzielt einen Wähleranteil von 10,3 Prozent (Veränderung gegenüber 2019: -1,1 Prozentpunkte).","SVP"
3932,"Tschiertschen-Praden GR","Bei der Stimmenauszählung in Tschiertschen-Praden gibt es für die <b>SVP</b> 185 und für die BDP 91 Stimmen. Die <b>FDP</b> kommt auf 73 Stimmen.<br><br>","SVP"
3941,"Haldenstein GR","Neue stärkste Kraft in Haldenstein: Die <b>SVP</b> holt mit 23,7 Prozent (+2,3 Prozentpunkte) die meisten Stimmen. Die Partei verbessert sich damit von Rang zwei auf den ersten Platz.<br><br>Die <b>SP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 23,6 Prozent (+3,8 Prozentpunkte).<br><br>Mit einem Wähleranteil von 15,3 Prozent belegt die <b>GLP</b> den dritten Platz (Veränderung gegenüber 2019: -4,8 Prozentpunkte).","SVP"
3945,"Trimmis GR","Mit grossem Abstand verteidigt die <b>SVP</b> ihre Position als grösste Partei in Trimmis, mit einem Wähleranteil von 45,3 Prozent (+4,4 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>SP</b>, beträgt 30,2 Prozentpunkte. Die <b>SP</b> erhält 15,1 Prozent der Stimmen (+1,3 Prozentpunkte).<br><br>Der dritte Platz geht an die <b>Mitte</b>. Die Partei erreicht 13,5 Prozent der Stimmen (Veränderung von -0,2 Prozentpunkten gegenüber 2019).","SVP"
3946,"Untervaz GR","Unverändert ist die <b>SVP</b> die stärkste Partei in Untervaz mit 38,4 Prozent (+2,9 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>SP</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +6,2 Prozentpunkte deutlich und weist neu einen Wähleranteil von 24,1 Prozent auf.<br><br>Den dritten Platz belegt die <b>Mitte</b>. Die Partei erzielt einen Wähleranteil von 14,6 Prozent (Veränderung gegenüber 2019: -0,7 Prozentpunkte).","SVP"
3947,"Zizers GR","Die <b>SVP</b> kann ihre Position als dominierende politische Kraft in Zizers beibehalten, mit einem Wähleranteil von 32 Prozent (-2,1 Prozentpunkte).<br><br>Die <b>Mitte</b> steigert sich mit einem Plus von +6 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil beträgt neu 18,2 Prozent.<br><br>Die <b>SP</b> landet mit 15,6 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -0,8 Prozentpunkte).","SVP"
3951,"Fläsch GR","Die Reihenfolge der Parteien in Fläsch bleibt im Vergleich zu den Wahlen 2019 gleich: Die <b>SVP</b> bleibt mit 34,9 Prozent die stärkste Kraft, gefolgt von der <b>FDP</b> (18,2 Prozent, -0,4 Prozentpunkte) und der <b>GLP</b> (13,7 Prozent, +0,2 Prozentpunkte).<br><br>","SVP"
3952,"Jenins GR","Unverändert ist die <b>SVP</b> die stärkste Partei in Jenins mit 36,9 Prozent (-2,3 Prozentpunkte).<br><br>Mit einem Wählerstimmenanteil von 17,2 Prozent (+2,6 Prozentpunkte) ist die <b>FDP</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Mit einem Wähleranteil von 16,3 Prozent belegt die <b>SP</b> den dritten Platz (Veränderung gegenüber 2019: +1,3 Prozentpunkte).","SVP"
3953,"Maienfeld GR","In Maienfeld bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 32 Prozent aller Stimmen (-2,8 Prozentpunkte).<br><br>Auf dem zweiten Platz in der Gemeinde liegt die <b>FDP</b>. Die Partei erreicht einen Wählerstimmenanteil von 20,7 Prozent (+3,8 Prozentpunkte).<br><br>Die <b>SP</b> sichert sich den dritten Platz, mit einem Wähleranteil von zwölf Prozent (Veränderung gegenüber 2019: -1,3 Prozentpunkte).","SVP"
3954,"Malans GR","Ganz knapp bleibt die <b>SVP</b> die grösste Partei in Malans. Die Partei holt 23,6 Prozent der Stimmen und hält damit ihren Vorsprung, mit 0,2 Prozentpunkten, vor der <b>SP</b>. Diese muss sich mit 23,3 Prozent und Platz zwei begnügen. Die Veränderungen gegenüber 2019: <b>SVP</b>: -2,9 Prozentpunkte; <b>SP</b>: -0,9 Prozentpunkte.<br><br>Die <b>FDP</b> verzeichnet einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 20,8 Prozent. Das sind +5,6 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","SVP"
3955,"Landquart GR","Keine Änderung an der Spitze in Landquart: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (34,8 Prozent, +0,1 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>SP</b> mit 18,2 Prozent (-3,1 Prozentpunkte gegenüber 2019).<br><br>Die <b>Mitte</b> sichert sich den dritten Platz, mit einem Wähleranteil von 12,9 Prozent (Veränderung gegenüber 2019: +1,5 Prozentpunkte).","SVP"
3961,"Grüsch GR","In Grüsch ist die <b>SVP</b> weiterhin mit deutlichem Abstand die grösste Partei. Sie holt 43,9 Prozent der Stimmen, 31,1 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Viele Wählerstimmen eingebüsst hat die drittplatzierte BDP. Die Partei holt noch 11,3 Prozent, was einen Verlust von -6 Prozentpunkten bedeutet.","SVP"
3962,"Schiers GR","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Schiers. Ihre Parteistärke beträgt 43,1 Prozent (+6,8 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>SP</b>, ist gross: 24,2 Prozentpunkte. Die <b>SP</b> holt 18,9 Prozent (-2,3 Prozentpunkte).<br><br>Die <b>FDP</b> landet mit 11,1 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -1,8 Prozentpunkte).","SVP"
3972,"Seewis im Prättigau GR","Mit grossem Abstand verteidigt die <b>SVP</b> ihre Position als grösste Partei in Seewis im Prättigau, mit einem Wähleranteil von 38,7 Prozent (+4,9 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>SP</b>, beträgt 23,3 Prozentpunkte. Die <b>SP</b> erhält 15,4 Prozent der Stimmen (-2,1 Prozentpunkte).<br><br>Die BDP verliert -15 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 11,8 Prozent nur noch auf dem dritten Platz landet.","SVP"
3981,"Breil/Brigels GR","Die <b>Mitte</b> behauptet ihre Position als vorherrschende Partei in Breil/Brigels. Die Partei verzeichnet einen Wähleranteil von 46,5 Prozent (-4,8 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +6 Prozentpunkte ist die <b>SVP</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 27,3 Prozent.<br><br>Den dritten Platz belegt die BDP. Die Partei erzielt einen Wähleranteil von 7,5 Prozent (Veränderung gegenüber 2019: -2,4 Prozentpunkte).","Mitte"
3982,"Disentis/Mustér GR","Alles bleibt beim Alten in Disentis/Mustér: Die drei stärksten Parteien verteidigen ihre Spitzenplätze in unveränderter Reihenfolge: Die <b>Mitte</b> geht mit 66,8 Prozent (-2,8 Prozentpunkte) wieder als stärkste Kraft aus den Nationalratswahlen. Zweitstärkste Partei ist die <b>SVP</b> (13,3 Prozent, -0,5 Prozentpunkte), drittstärkste die <b>SP</b> (5,2 Prozent, -0,6 Prozentpunkte).<br><br>","Mitte"
3983,"Medel (Lucmagn) GR","Medel (Lucmagn) ist unbestrittenes Territorium der <b>Mitte</b>. Die Partei holt die absolute Mehrheit der Stimmen.<br><br>Trotz einem Minus von -6,8 Prozentpunkten gegenüber den Wahlen 2019 belegt die <b>SVP</b> immer noch den zweiten Platz. Dies dank eines Wähleranteils von 9,6 Prozent.<br><br>Den dritten Platz belegt die <b>SP</b>. Die Partei erzielt einen Wähleranteil von 8,4 Prozent (Veränderung gegenüber 2019: -0,7 Prozentpunkte).","Mitte"
3985,"Sumvitg GR","Kein Weg führt in Sumvitg an der <b>Mitte</b> vorbei. Die Partei holt mehr als die Hälfte der Stimmen und damit eine absolute Mehrheit.<br><br>Zweitstärkste Partei ist die <b>SVP</b> mit 14 Prozent (-0,6 Prozentpunkte gegenüber 2019).<br><br>Der dritte Platz geht an die <b>SP</b>. Die Partei erreicht 4,3 Prozent der Stimmen (Veränderung von -1,4 Prozentpunkten gegenüber 2019).","Mitte"
3986,"Tujetsch GR","Die <b>Mitte</b> ist in Tujetsch unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Auf dem zweiten Platz in der Gemeinde liegt die <b>SVP</b>. Die Partei erreicht einen Wählerstimmenanteil von 20,9 Prozent (+2,9 Prozentpunkte).<br><br>Auf dem dritten Platz landet die <b>SP</b> mit 7,4 Prozent der Stimmen. Das bedeutet eine Veränderung von +3,9 Prozentpunkten gegenüber 2019. ","Mitte"
3987,"Trun GR","Kein Weg führt in Trun an der <b>Mitte</b> vorbei. Die Partei holt mehr als die Hälfte der Stimmen und damit eine absolute Mehrheit.<br><br>Zweitstärkste Partei ist die <b>SVP</b> mit 21,4 Prozent (+4,9 Prozentpunkte gegenüber 2019).<br><br>Der dritte Platz geht an die <b>Grünen</b>. Die Partei erreicht 4,7 Prozent der Stimmen (Veränderung von +4,7 Prozentpunkten gegenüber 2019).","Mitte"
3988,"Obersaxen Mundaun GR","In Obersaxen Mundaun bleibt die <b>Mitte</b> die stimmenstärkste Partei. Die Partei holt 46,4 Prozent aller Stimmen (-2,5 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +6,8 Prozentpunkte ist die <b>SVP</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 30,1 Prozent.<br><br>Die BDP sichert sich den dritten Platz, mit einem Wähleranteil von 7,1 Prozent (Veränderung gegenüber 2019: -2,3 Prozentpunkte).","Mitte"
4001,"Aarau AG","In Aarau bleibt die <b>SP</b> die stimmenstärkste Partei. Die Partei holt 26,4 Prozent aller Stimmen (-0,1 Prozentpunkte).<br><br>Die <b>FDP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 16,7 Prozent (-1,4 Prozentpunkte).<br><br>Die <b>SVP</b> verliert -6,3 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 16,3 Prozent nur noch auf dem dritten Platz landet.","SP"
4002,"Biberstein AG","Die <b>SVP</b> ist weiterhin die stärkste Kraft in Biberstein. Mit 22,3 Prozent Wähleranteil verweist die Partei die <b>FDP</b> allerdings nur mit 2,2 Prozentpunkten Abstand auf den zweiten Platz. Die zweitstärkste Partei holt 20,1 Prozent. Die Veränderungen gegenüber 2019: <b>SVP</b>: -8,5 Prozentpunkte; <b>FDP</b>: +1,8 Prozentpunkte.<br><br>Auf dem dritten Platz landet die <b>SP</b> mit 18,8 Prozent der Stimmen. Das bedeutet eine Veränderung von -1,6 Prozentpunkten gegenüber 2019. ","SVP"
4003,"Buchs AG","In Buchs AG verliert die <b>SVP</b> zwar deutlich an Stimmen. Die Partei bleibt dennoch die stärkste Kraft und kommt neu auf einen Wähleranteil von 26,8 Prozent (-9,7 Prozentpunkte).<br><br>Die <b>SP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 19,5 Prozent (+1,2 Prozentpunkte).<br><br>Mit einem Wähleranteil von 15,1 Prozent belegt die <b>FDP</b> den dritten Platz (Veränderung gegenüber 2019: -0,1 Prozentpunkte).","SVP"
4004,"Densbüren AG","In Densbüren ist die <b>SVP</b> weiterhin mit deutlichem Abstand die grösste Partei. Sie holt 48,4 Prozent der Stimmen, 35,8 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Der dritte Platz geht an die <b>FDP</b>. Die Partei erreicht 10,2 Prozent der Stimmen (Veränderung von -3,6 Prozentpunkten gegenüber 2019).","SVP"
4005,"Erlinsbach AG","In Erlinsbach AG bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 31,4 Prozent aller Stimmen (-5,3 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>FDP</b> mit 18,7 Prozent (-2,1 Prozentpunkte gegenüber 2019).<br><br>Auf dem dritten Platz landet die <b>SP</b> mit 16,8 Prozent der Stimmen. Das bedeutet eine Veränderung von +1,4 Prozentpunkten gegenüber 2019. ","SVP"
4006,"Gränichen AG","Die <b>SVP</b> kann ihre Position als dominierende politische Kraft in Gränichen beibehalten, mit einem Wähleranteil von 34,3 Prozent (-5,4 Prozentpunkte).<br><br>Die <b>SP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 17 Prozent (-0,2 Prozentpunkte).<br><br>Den dritten Platz belegt die <b>FDP</b>. Die Partei erzielt einen Wähleranteil von 14 Prozent (Veränderung gegenüber 2019: -2,1 Prozentpunkte).","SVP"
4007,"Hirschthal AG","Nach wie vor ist die <b>SVP</b> in Hirschthal unangefochten die grösste Partei, mit einem Wähleranteil von 39,8 Prozent (-8,4 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>FDP</b>, ist beträchtlich - nämlich 20,9 Prozentpunkte. Die <b>FDP</b> erreicht einen Wähleranteil von 18,9 Prozent (+2,6 Prozentpunkte). <br><br>Auf dem dritten Platz landet die <b>SP</b> mit 11,5 Prozent der Stimmen. Das bedeutet eine Veränderung von +0,3 Prozentpunkten gegenüber 2019. ","SVP"
4008,"Küttigen AG","Ganz knapp bleibt die <b>SVP</b> die grösste Partei in Küttigen. Die Partei holt 22,3 Prozent der Stimmen und hält damit ihren Vorsprung, mit 1,5 Prozentpunkten, vor der <b>SP</b>. Diese muss sich mit 20,8 Prozent und Platz zwei begnügen. Die Veränderungen gegenüber 2019: <b>SVP</b>: -5,3 Prozentpunkte; <b>SP</b>: +0,4 Prozentpunkte.<br><br>Mit einem Wähleranteil von 17,2 Prozent belegt die <b>FDP</b> den dritten Platz (Veränderung gegenüber 2019: -1,9 Prozentpunkte).","SVP"
4009,"Muhen AG","Nach wie vor ist die <b>SVP</b> in Muhen unangefochten die grösste Partei, mit einem Wähleranteil von 40,7 Prozent (-7,6 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>FDP</b>, ist beträchtlich - nämlich 25,6 Prozentpunkte. Die <b>FDP</b> erreicht einen Wähleranteil von 15,1 Prozent (+0,5 Prozentpunkte). <br><br>Den dritten Platz belegt die <b>SP</b>. Die Partei erzielt einen Wähleranteil von 14,5 Prozent (Veränderung gegenüber 2019: +1 Prozentpunkte).","SVP"
4010,"Oberentfelden AG","In Oberentfelden behält die <b>SVP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 31,9 Prozent (-7,5 Prozentpunkte).<br><br>Auf dem zweiten Platz in der Gemeinde liegt die <b>SP</b>. Die Partei erreicht einen Wählerstimmenanteil von 17 Prozent (-0,3 Prozentpunkte).<br><br>Die <b>FDP</b> landet mit 15,2 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -1,1 Prozentpunkte).","SVP"
4012,"Suhr AG","In Suhr steht eine neue Partei auf dem Spitzenplatz: Die <b>SP</b> holt 23,9 Prozent der Stimmen (+3,4 Prozentpunkte) und verbessert sich damit von Rang zwei auf den ersten Platz.<br><br>Einen markanten Verlust muss die <b>SVP</b> hinnehmen: Die Partei verliert -7,5 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 22,6 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Die <b>FDP</b> landet mit 15 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -1,3 Prozentpunkte).","SP"
4013,"Unterentfelden AG","Trotz beträchtlicher Stimmenverluste in Unterentfelden bleibt die <b>SVP</b> die vorherrschende Kraft. Die Partei erreicht neu noch einen Wähleranteil von 26,3 Prozent (-8,2 Prozentpunkte).<br><br>In der Gemeinde landet die <b>SP</b> auf dem zweiten Platz. Die Partei erreicht einen Wählerstimmenanteil von 17,9 Prozent (+2,4 Prozentpunkte). <br><br>Die <b>FDP</b> landet mit 17,8 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -1,9 Prozentpunkte).","SVP"
4021,"Baden AG","In Baden behält die <b>SP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 24,4 Prozent (+1,7 Prozentpunkte).<br><br>Mit einem Wählerstimmenanteil von 15,4 Prozent (+3,9 Prozentpunkte) sind die <b>Grünen</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Auf dem dritten Platz landet die <b>FDP</b> mit 14,8 Prozent der Stimmen. Das bedeutet eine Veränderung von -3,5 Prozentpunkten gegenüber 2019. ","SP"
4022,"Bellikon AG","Die <b>SVP</b> behauptet ihre Position als vorherrschende Partei in Bellikon. Die Partei verzeichnet einen Wähleranteil von 33,8 Prozent (-7,7 Prozentpunkte).<br><br>Mit einem Wählerstimmenanteil von 14,7 Prozent (-1,8 Prozentpunkte) ist die <b>FDP</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Den dritten Platz in Bellikon teilen sich zwei Parteien: Die <b>GLP</b> und die <b>SP</b> sind genau gleich stark. Mit je 11,5 Prozent kommen beide Parteien auf den gleichen Wähleranteil.","SVP"
4023,"Bergdietikon AG","In Bergdietikon ist die <b>SVP</b> weiterhin mit deutlichem Abstand die grösste Partei. Sie holt 39,7 Prozent der Stimmen, 24 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Mit einem deutlichen Anstieg von +5,2 Prozentpunkten gegenüber den letzten Wahlen kann sich die <b>GLP</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 11,9 Prozent.","SVP"
