"ID","Gemeinde_it","Tabelle_it","Staerkste_Partei"
3407,"Oberuzwil SG","tab_h_it$tr£$td£UDC$/td£tab_r148tab_r2#547d34tab_r3$td£$b£32.1%$/b£$/td£§+3.5$/td£$/tr£$tr£$td£Centro$/td£tab_r130tab_r2#f39f5etab_r3$td£$b£19.8%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PLR$/td£tab_r126tab_r2#6268AFtab_r3$td£$b£17.5%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PS$/td£tab_r117tab_r2#ea546ftab_r3$td£$b£11.2%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£Verdi$/td£tab_r113tab_r2#26b300tab_r3$td£$b£8.9%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.0%$/b£$/td£§-2.2$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'835$/b£$br£Tasso di partecipazione: $b£45.3%$/b£ (+2.4%)","SVP"
3408,"Uzwil SG","tab_h_it$tr£$td£UDC$/td£tab_r155tab_r2#547d34tab_r3$td£$b£36.6%$/b£$/td£§+3.3$/td£$/tr£$tr£$td£Centro$/td£tab_r130tab_r2#f39f5etab_r3$td£$b£19.8%$/b£$/td£§-1.8$/td£$/tr£$tr£$td£PLR$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£15.0%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£PS$/td£tab_r117tab_r2#ea546ftab_r3$td£$b£11.3%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£Verdi$/td£tab_r112tab_r2#26b300tab_r3$td£$b£8.1%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£PVL$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£4.3%$/b£$/td£§-1.9$/td£$/tr£$/table£$br£Schede elettorali valide: $b£3'006$/b£$br£Tasso di partecipazione: $b£39.1%$/b£ (+0.9%)","SVP"
3422,"Niederbüren SG","tab_h_it$tr£$td£UDC$/td£tab_r163tab_r2#547d34tab_r3$td£$b£42.1%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£Centro$/td£tab_r133tab_r2#f39f5etab_r3$td£$b£22.3%$/b£$/td£§-6.0$/td£$/tr£$tr£$td£PLR$/td£tab_r130tab_r2#6268AFtab_r3$td£$b£20.3%$/b£$/td£§+5.7$/td£$/tr£$tr£$td£PS$/td£tab_r17tab_r2#ea546ftab_r3$td£$b£4.4%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£PVL$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£4.0%$/b£$/td£§-0.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£650$/b£$br£Tasso di partecipazione: $b£62.3%$/b£ (+8.9%)","SVP"
3423,"Niederhelfenschwil SG","tab_h_it$tr£$td£UDC$/td£tab_r162tab_r2#547d34tab_r3$td£$b£41.4%$/b£$/td£§+4.9$/td£$/tr£$tr£$td£Centro$/td£tab_r132tab_r2#f39f5etab_r3$td£$b£21.5%$/b£$/td£§-3.7$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£16.2%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£Verdi$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.3%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£PS$/td£tab_r18tab_r2#ea546ftab_r3$td£$b£5.0%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.9%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.6%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'172$/b£$br£Tasso di partecipazione: $b£53.0%$/b£ (+6.4%)","SVP"
3424,"Oberbüren SG","tab_h_it$tr£$td£UDC$/td£tab_r167tab_r2#547d34tab_r3$td£$b£44.5%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£Centro$/td£tab_r131tab_r2#f39f5etab_r3$td£$b£20.5%$/b£$/td£§-1.8$/td£$/tr£$tr£$td£PLR$/td£tab_r125tab_r2#6268AFtab_r3$td£$b£16.4%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£PS$/td£tab_r110tab_r2#ea546ftab_r3$td£$b£6.9%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£Verdi$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.6%$/b£$/td£§-1.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'400$/b£$br£Tasso di partecipazione: $b£44.8%$/b£ (+4.3%)","SVP"
3426,"Zuzwil SG","tab_h_it$tr£$td£UDC$/td£tab_r158tab_r2#547d34tab_r3$td£$b£38.4%$/b£$/td£§+4.2$/td£$/tr£$tr£$td£PLR$/td£tab_r130tab_r2#6268AFtab_r3$td£$b£19.9%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£Centro$/td£tab_r128tab_r2#f39f5etab_r3$td£$b£18.4%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£PS$/td£tab_r113tab_r2#ea546ftab_r3$td£$b£8.5%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£Verdi$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.0%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.0%$/b£$/td£§-1.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'832$/b£$br£Tasso di partecipazione: $b£52.4%$/b£ (+1.9%)","SVP"
3427,"Wil SG","tab_h_it$tr£$td£UDC$/td£tab_r143tab_r2#547d34tab_r3$td£$b£29.0%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£Centro$/td£tab_r126tab_r2#f39f5etab_r3$td£$b£17.5%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£16.0%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£PS$/td£tab_r124tab_r2#ea546ftab_r3$td£$b£15.9%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Verdi$/td£tab_r116tab_r2#26b300tab_r3$td£$b£10.9%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.1%$/b£$/td£§-1.2$/td£$/tr£$/table£$br£Schede elettorali valide: $b£6'331$/b£$br£Tasso di partecipazione: $b£45.1%$/b£ (-0.6%)","SVP"
3441,"Andwil SG","tab_h_it$tr£$td£UDC$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.3%$/b£$/td£§+4.0$/td£$/tr£$tr£$td£Centro$/td£tab_r139tab_r2#f39f5etab_r3$td£$b£25.9%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£PLR$/td£tab_r129tab_r2#6268AFtab_r3$td£$b£19.1%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£PS$/td£tab_r113tab_r2#ea546ftab_r3$td£$b£8.6%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£Verdi$/td£tab_r19tab_r2#26b300tab_r3$td£$b£5.9%$/b£$/td£§-0.2$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.8%$/b£$/td£§-2.4$/td£$/tr£$/table£$br£Schede elettorali valide: $b£768$/b£$br£Tasso di partecipazione: $b£50.6%$/b£ (+0.6%)","SVP"
3442,"Gaiserwald SG","tab_h_it$tr£$td£UDC$/td£tab_r142tab_r2#547d34tab_r3$td£$b£28.1%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£Centro$/td£tab_r135tab_r2#f39f5etab_r3$td£$b£23.4%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£PLR$/td£tab_r130tab_r2#6268AFtab_r3$td£$b£20.2%$/b£$/td£§-3.2$/td£$/tr£$tr£$td£PS$/td£tab_r114tab_r2#ea546ftab_r3$td£$b£9.5%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£Verdi$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.6%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PVL$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.4%$/b£$/td£§-0.4$/td£$/tr£$/table£$br£Schede elettorali valide: $b£2'841$/b£$br£Tasso di partecipazione: $b£49.4%$/b£ (+3.6%)","SVP"
3443,"Gossau SG","tab_h_it$tr£$td£UDC$/td£tab_r154tab_r2#547d34tab_r3$td£$b£36.2%$/b£$/td£§+2.8$/td£$/tr£$tr£$td£Centro$/td£tab_r133tab_r2#f39f5etab_r3$td£$b£21.7%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£PLR$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£14.4%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£11.7%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Verdi$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.5%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.6%$/b£$/td£§-1.9$/td£$/tr£$/table£$br£Schede elettorali valide: $b£4'795$/b£$br£Tasso di partecipazione: $b£41.4%$/b£ (+2.1%)","SVP"
3444,"Waldkirch SG","tab_h_it$tr£$td£UDC$/td£tab_r161tab_r2#547d34tab_r3$td£$b£41.0%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£Centro$/td£tab_r135tab_r2#f39f5etab_r3$td£$b£23.3%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£16.0%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£PS$/td£tab_r110tab_r2#ea546ftab_r3$td£$b£6.9%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£Verdi$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.1%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£PVL$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£4.2%$/b£$/td£§-1.4$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'201$/b£$br£Tasso di partecipazione: $b£49.8%$/b£ (-1.4%)","SVP"
3506,"Vaz/Obervaz GR","tab_h_it$tr£$td£Centro$/td£tab_r157tab_r2#f39f5etab_r3$td£$b£38.3%$/b£$/td£§+14.4$/td£$/tr£$tr£$td£UDC$/td£tab_r140tab_r2#547d34tab_r3$td£$b£26.8%$/b£$/td£§-2.3$/td£$/tr£$tr£$td£PLR$/td£tab_r119tab_r2#6268AFtab_r3$td£$b£12.6%$/b£$/td£§-14.7$/td£$/tr£$tr£$td£PS$/td£tab_r116tab_r2#ea546ftab_r3$td£$b£10.7%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£6.0%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£Verdi$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.4%$/b£$/td£§+0.4$/td£$/tr£$/table£$br£Schede elettorali valide: $b£847$/b£$br£Tasso di partecipazione: $b£47.7%$/b£ (+0.1%)","Mitte"
3513,"Lantsch/Lenz GR","tab_h_it$tr£$td£Centro$/td£tab_r162tab_r2#f39f5etab_r3$td£$b£41.0%$/b£$/td£§+7.6$/td£$/tr£$tr£$td£UDC$/td£tab_r139tab_r2#547d34tab_r3$td£$b£25.9%$/b£$/td£§-9.7$/td£$/tr£$tr£$td£PS$/td£tab_r121tab_r2#ea546ftab_r3$td£$b£13.9%$/b£$/td£§+5.7$/td£$/tr£$tr£$td£PLR$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.6%$/b£$/td£§-3.2$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.1%$/b£$/td£§-0.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£188$/b£$br£Tasso di partecipazione: $b£48.7%$/b£ (+1.6%)","Mitte"
3514,"Schmitten GR","tab_h_it$tr£$td£Centro$/td£tab_r156tab_r2#f39f5etab_r3$td£$b£37.6%$/b£$/td£§+3.6$/td£$/tr£$tr£$td£UDC$/td£tab_r154tab_r2#547d34tab_r3$td£$b£35.7%$/b£$/td£§-6.3$/td£$/tr£$tr£$td£PVL$/td£tab_r113tab_r2#cbd401tab_r3$td£$b£8.6%$/b£$/td£§+4.7$/td£$/tr£$tr£$td£PLR$/td£tab_r112tab_r2#6268AFtab_r3$td£$b£7.8%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£UDF$/td£tab_r16tab_r2#3aa59atab_r3$td£$b£4.3%$/b£$/td£§+4.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£51$/b£$br£Tasso di partecipazione: $b£32.9%$/b£ (-8.8%)","Mitte"
3542,"Albula/Alvra GR","tab_h_it$tr£$td£Centro$/td£tab_r169tab_r2#f39f5etab_r3$td£$b£46.1%$/b£$/td£§+8.1$/td£$/tr£$tr£$td£UDC$/td£tab_r135tab_r2#547d34tab_r3$td£$b£23.3%$/b£$/td£§-4.8$/td£$/tr£$tr£$td£PS$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.4%$/b£$/td£§-2.9$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£9.7%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£PVL$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£3.9%$/b£$/td£§-2.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£388$/b£$br£Tasso di partecipazione: $b£42.2%$/b£ (+3.7%)","Mitte"
3543,"Surses GR","tab_h_it$tr£$td£Centro$/td£tab_r155tab_r2#f39f5etab_r3$td£$b£36.4%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£UDC$/td£tab_r134tab_r2#547d34tab_r3$td£$b£22.7%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PS$/td£tab_r126tab_r2#ea546ftab_r3$td£$b£17.2%$/b£$/td£§+4.1$/td£$/tr£$tr£$td£PLR$/td£tab_r121tab_r2#6268AFtab_r3$td£$b£13.9%$/b£$/td£§-0.2$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.5%$/b£$/td£§-2.3$/td£$/tr£$tr£$td£Verdi$/td£tab_r16tab_r2#26b300tab_r3$td£$b£3.7%$/b£$/td£§-2.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£721$/b£$br£Tasso di partecipazione: $b£41.6%$/b£ (+2.1%)","Mitte"
3544,"Bergün Filisur GR","tab_h_it$tr£$td£UDC$/td£tab_r144tab_r2#547d34tab_r3$td£$b£29.6%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£PS$/td£tab_r129tab_r2#ea546ftab_r3$td£$b£19.4%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£Centro$/td£tab_r129tab_r2#f39f5etab_r3$td£$b£19.1%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£PLR$/td£tab_r127tab_r2#6268AFtab_r3$td£$b£18.3%$/b£$/td£§+0.3$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£6.3%$/b£$/td£§-3.7$/td£$/tr£$tr£$td£Verdi$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.2%$/b£$/td£§-0.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£324$/b£$br£Tasso di partecipazione: $b£49.5%$/b£ (-0.7%)","SVP"
3551,"Brusio GR","tab_h_it$tr£$td£UDC$/td£tab_r170tab_r2#547d34tab_r3$td£$b£46.7%$/b£$/td£§-6.1$/td£$/tr£$tr£$td£PS$/td£tab_r133tab_r2#ea546ftab_r3$td£$b£22.3%$/b£$/td£§+3.1$/td£$/tr£$tr£$td£Centro$/td£tab_r127tab_r2#f39f5etab_r3$td£$b£17.7%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£10.2%$/b£$/td£§+3.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£345$/b£$br£Tasso di partecipazione: $b£39.8%$/b£ (-1.2%)","SVP"
3561,"Poschiavo GR","tab_h_it$tr£$td£UDC$/td£tab_r155tab_r2#547d34tab_r3$td£$b£36.9%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£Centro$/td£tab_r145tab_r2#f39f5etab_r3$td£$b£29.9%$/b£$/td£§+5.3$/td£$/tr£$tr£$td£PS$/td£tab_r125tab_r2#ea546ftab_r3$td£$b£17.0%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£PLR$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.7%$/b£$/td£§-0.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'164$/b£$br£Tasso di partecipazione: $b£42.0%$/b£ (+0.1%)","SVP"
3572,"Falera GR","tab_h_it$tr£$td£Centro$/td£tab_r153tab_r2#f39f5etab_r3$td£$b£35.3%$/b£$/td£§-12.1$/td£$/tr£$tr£$td£UDC$/td£tab_r147tab_r2#547d34tab_r3$td£$b£31.1%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£PLR$/td£tab_r120tab_r2#6268AFtab_r3$td£$b£13.6%$/b£$/td£§+6.4$/td£$/tr£$tr£$td£PS$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.9%$/b£$/td£§+6.6$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.9%$/b£$/td£§-3.0$/td£$/tr£$/table£$br£Schede elettorali valide: $b£243$/b£$br£Tasso di partecipazione: $b£53.2%$/b£ (-4.1%)","Mitte"
3575,"Laax GR","tab_h_it$tr£$td£UDC$/td£tab_r150tab_r2#547d34tab_r3$td£$b£33.4%$/b£$/td£§+2.0$/td£$/tr£$tr£$td£Centro$/td£tab_r141tab_r2#f39f5etab_r3$td£$b£27.3%$/b£$/td£§-5.1$/td£$/tr£$tr£$td£PLR$/td£tab_r123tab_r2#6268AFtab_r3$td£$b£15.7%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PS$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.5%$/b£$/td£§+2.7$/td£$/tr£$tr£$td£PVL$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.1%$/b£$/td£§-2.9$/td£$/tr£$tr£$td£Verdi$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.1%$/b£$/td£§-0.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£629$/b£$br£Tasso di partecipazione: $b£54.5%$/b£ (+9.3%)","SVP"
3581,"Sagogn GR","tab_h_it$tr£$td£Centro$/td£tab_r143tab_r2#f39f5etab_r3$td£$b£28.4%$/b£$/td£§-9.7$/td£$/tr£$tr£$td£UDC$/td£tab_r134tab_r2#547d34tab_r3$td£$b£22.4%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£PS$/td£tab_r131tab_r2#ea546ftab_r3$td£$b£20.7%$/b£$/td£§+5.9$/td£$/tr£$tr£$td£PLR$/td£tab_r119tab_r2#6268AFtab_r3$td£$b£12.7%$/b£$/td£§+5.2$/td£$/tr£$tr£$td£Verdi$/td£tab_r114tab_r2#26b300tab_r3$td£$b£9.6%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£5.7%$/b£$/td£§-2.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£253$/b£$br£Tasso di partecipazione: $b£47.0%$/b£ (-4.2%)","Mitte"
3582,"Schluein GR","tab_h_it$tr£$td£Centro$/td£tab_r161tab_r2#f39f5etab_r3$td£$b£40.8%$/b£$/td£§-4.3$/td£$/tr£$tr£$td£UDC$/td£tab_r154tab_r2#547d34tab_r3$td£$b£36.2%$/b£$/td£§+5.0$/td£$/tr£$tr£$td£PLR$/td£tab_r112tab_r2#6268AFtab_r3$td£$b£7.8%$/b£$/td£§+4.6$/td£$/tr£$tr£$td£PS$/td£tab_r111tab_r2#ea546ftab_r3$td£$b£7.6%$/b£$/td£§+1.8$/td£$/tr£$/table£$br£Schede elettorali valide: $b£170$/b£$br£Tasso di partecipazione: $b£40.1%$/b£ (+5.1%)","Mitte"
3603,"Vals GR","tab_h_it$tr£$td£Centro$/td£tab_r178tab_r2#f39f5etab_r3$td£$b£52.0%$/b£$/td£§-11.1$/td£$/tr£$tr£$td£UDC$/td£tab_r136tab_r2#547d34tab_r3$td£$b£23.9%$/b£$/td£§+7.3$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£11.8%$/b£$/td£§+4.8$/td£$/tr£$tr£$td£PLR$/td£tab_r17tab_r2#6268AFtab_r3$td£$b£5.0%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£Verdi$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.0%$/b£$/td£§-0.2$/td£$/tr£$/table£$br£Schede elettorali valide: $b£326$/b£$br£Tasso di partecipazione: $b£47.1%$/b£ (+3.7%)","Mitte"
3618,"Lumnezia GR","tab_h_it$tr£$td£Centro$/td£tab_r175tab_r2#f39f5etab_r3$td£$b£50.2%$/b£$/td£§-11.4$/td£$/tr£$tr£$td£UDC$/td£tab_r148tab_r2#547d34tab_r3$td£$b£31.9%$/b£$/td£§+9.4$/td£$/tr£$tr£$td£PS$/td£tab_r112tab_r2#ea546ftab_r3$td£$b£8.3%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£PLR$/td£tab_r17tab_r2#6268AFtab_r3$td£$b£4.4%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£Verdi$/td£tab_r15tab_r2#26b300tab_r3$td£$b£3.3%$/b£$/td£§-1.2$/td£$/tr£$/table£$br£Schede elettorali valide: $b£808$/b£$br£Tasso di partecipazione: $b£48.3%$/b£ (-)","Mitte"
3619,"Ilanz/Glion GR","tab_h_it$tr£$td£Centro$/td£tab_r153tab_r2#f39f5etab_r3$td£$b£35.6%$/b£$/td£§-8.5$/td£$/tr£$tr£$td£UDC$/td£tab_r142tab_r2#547d34tab_r3$td£$b£28.2%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PS$/td£tab_r124tab_r2#ea546ftab_r3$td£$b£16.0%$/b£$/td£§+4.6$/td£$/tr£$tr£$td£PLR$/td£tab_r112tab_r2#6268AFtab_r3$td£$b£8.3%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£Verdi$/td£tab_r19tab_r2#26b300tab_r3$td£$b£5.7%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£PVL$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.6%$/b£$/td£§-3.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'551$/b£$br£Tasso di partecipazione: $b£44.4%$/b£ (+0.1%)","Mitte"
3633,"Fürstenau GR","tab_h_it$tr£$td£UDC$/td£tab_r158tab_r2#547d34tab_r3$td£$b£38.8%$/b£$/td£§+6.0$/td£$/tr£$tr£$td£PLR$/td£tab_r126tab_r2#6268AFtab_r3$td£$b£17.1%$/b£$/td£§+1.9$/td£$/tr£$tr£$td£PS$/td£tab_r125tab_r2#ea546ftab_r3$td£$b£16.4%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£Centro$/td£tab_r123tab_r2#f39f5etab_r3$td£$b£15.5%$/b£$/td£§-7.5$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.4%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£Verdi$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.1%$/b£$/td£§-0.9$/td£$/tr£$/table£$br£Schede elettorali valide: $b£125$/b£$br£Tasso di partecipazione: $b£49.4%$/b£ (-0.6%)","SVP"
3637,"Rothenbrunnen GR","tab_h_it$tr£$td£UDC$/td£tab_r164tab_r2#547d34tab_r3$td£$b£42.9%$/b£$/td£§+5.7$/td£$/tr£$tr£$td£PS$/td£tab_r131tab_r2#ea546ftab_r3$td£$b£20.6%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£Centro$/td£tab_r127tab_r2#f39f5etab_r3$td£$b£17.9%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£PLR$/td£tab_r119tab_r2#6268AFtab_r3$td£$b£12.5%$/b£$/td£§+4.9$/td£$/tr£$tr£$td£PVL$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£3.8%$/b£$/td£§-4.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£106$/b£$br£Tasso di partecipazione: $b£48.6%$/b£ (-3.4%)","SVP"
3638,"Scharans GR","tab_h_it$tr£$td£UDC$/td£tab_r139tab_r2#547d34tab_r3$td£$b£25.8%$/b£$/td£§-3.2$/td£$/tr£$tr£$td£PS$/td£tab_r139tab_r2#ea546ftab_r3$td£$b£25.7%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£15.9%$/b£$/td£§+5.8$/td£$/tr£$tr£$td£Centro$/td£tab_r120tab_r2#f39f5etab_r3$td£$b£13.4%$/b£$/td£§-4.7$/td£$/tr£$tr£$td£PVL$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£8.2%$/b£$/td£§-3.0$/td£$/tr£$tr£$td£Verdi$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.4%$/b£$/td£§-1.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£328$/b£$br£Tasso di partecipazione: $b£49.9%$/b£ (+0.2%)","SVP"
3640,"Sils im Domleschg GR","tab_h_it$tr£$td£UDC$/td£tab_r160tab_r2#547d34tab_r3$td£$b£39.8%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£Centro$/td£tab_r126tab_r2#f39f5etab_r3$td£$b£17.3%$/b£$/td£§-5.1$/td£$/tr£$tr£$td£PS$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.6%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£PLR$/td£tab_r123tab_r2#6268AFtab_r3$td£$b£15.0%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£PVL$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.5%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£Verdi$/td£tab_r16tab_r2#26b300tab_r3$td£$b£3.9%$/b£$/td£§+0.3$/td£$/tr£$tr£$td£UDF$/td£tab_r15tab_r2#3aa59atab_r3$td£$b£3.3%$/b£$/td£§+3.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£277$/b£$br£Tasso di partecipazione: $b£43.3%$/b£ (+1.4%)","SVP"
3661,"Cazis GR","tab_h_it$tr£$td£UDC$/td£tab_r155tab_r2#547d34tab_r3$td£$b£36.7%$/b£$/td£§+3.3$/td£$/tr£$tr£$td£Centro$/td£tab_r134tab_r2#f39f5etab_r3$td£$b£22.6%$/b£$/td£§-8.9$/td£$/tr£$tr£$td£PS$/td£tab_r121tab_r2#ea546ftab_r3$td£$b£14.1%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PLR$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.2%$/b£$/td£§+4.5$/td£$/tr£$tr£$td£PVL$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.5%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£Verdi$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.2%$/b£$/td£§-0.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£640$/b£$br£Tasso di partecipazione: $b£38.9%$/b£ (-0.2%)","SVP"
